"","ID","condition_names","phase","objects","event_type","measure"
"1.1",1,"BB","Pre","A","Plus",100
"1.2",1,"BB","Pre","A","Minus",50
"1.3",1,"BB","Pre","B","Plus",100
"1.4",1,"BB","Pre","B","Minus",50
"1.13",1,"IS","Pre","A","Plus",50
"1.14",1,"IS","Pre","A","Minus",50
"1.15",1,"IS","Pre","B","Plus",50
"1.16",1,"IS","Pre","B","Minus",50
"1.25",1,"1C","Pre","A","Plus",100
"1.26",1,"1C","Pre","A","Minus",50
"1.27",1,"1C","Pre","B","Plus",100
"1.28",1,"1C","Pre","B","Minus",50
"1.37",1,"2C","Pre","A","Plus",50
"1.38",1,"2C","Pre","A","Minus",100
"1.39",1,"2C","Pre","B","Plus",50
"1.40",1,"2C","Pre","B","Minus",100
"2.1",2,"BB","Pre","A","Plus",100
"2.2",2,"BB","Pre","A","Minus",50
"2.3",2,"BB","Pre","B","Plus",100
"2.4",2,"BB","Pre","B","Minus",50
"2.13",2,"IS","Pre","A","Plus",50
"2.14",2,"IS","Pre","A","Minus",100
"2.15",2,"IS","Pre","B","Plus",50
"2.16",2,"IS","Pre","B","Minus",100
"2.25",2,"1C","Pre","A","Plus",50
"2.26",2,"1C","Pre","A","Minus",50
"2.27",2,"1C","Pre","B","Plus",50
"2.28",2,"1C","Pre","B","Minus",50
"2.37",2,"2C","Pre","A","Plus",70
"2.38",2,"2C","Pre","A","Minus",20
"2.39",2,"2C","Pre","B","Plus",70
"2.40",2,"2C","Pre","B","Minus",20
"3.1",3,"BB","Pre","A","Plus",90
"3.2",3,"BB","Pre","A","Minus",0
"3.3",3,"BB","Pre","B","Plus",90
"3.4",3,"BB","Pre","B","Minus",10
"3.13",3,"IS","Pre","A","Plus",10
"3.14",3,"IS","Pre","A","Minus",90
"3.15",3,"IS","Pre","B","Plus",10
"3.16",3,"IS","Pre","B","Minus",90
"3.25",3,"1C","Pre","A","Plus",90
"3.26",3,"1C","Pre","A","Minus",10
"3.27",3,"1C","Pre","B","Plus",90
"3.28",3,"1C","Pre","B","Minus",10
"3.37",3,"2C","Pre","A","Plus",90
"3.38",3,"2C","Pre","A","Minus",10
"3.39",3,"2C","Pre","B","Plus",90
"3.40",3,"2C","Pre","B","Minus",10
