ID,Sex,bb.a.pre,bb.b.pre,bb.c.pre,bb.a.post,bb.b.post,bb.c.post,is.a.pre,is.b.pre,is.c.pre,is.a.post,is.b.post,is.c.post,oc.a.pre,oc.b.pre,oc.c.pre,oc.a.post,oc.b.post,oc.c.post,tc.a.pre,tc.b.pre,tc.cpre,tc.a.post,tc.b.post,tc.c.post
1,Male,30,60,40,100,0,40,70,20,60,0,20,100,70,20,65,100,20,0,60,50,30,100,50,75
2,Female,50,80,70,80,50,50,50,80,60,50,50,60,60,40,50,100,50,50,70,80,50,90,80,50
3,Male,50,50,50,100,50,50,50,50,50,0,50,100,50,60,50,95,50,0,50,50,70,95,50,50
4,Female,50,50,50,50,50,50,50,50,50,50,0,100,50,50,50,100,50,0,50,50,50,100,50,67
5,Female,70,80,50,50,50,100,70,50,50,100,70,100,70,100,80,100,100,100,80,80,100,100,80,50
6,Female,33.3,33.3,33.3,100,33.3,50,33.3,33.3,33.3,0,50,100,33.3,33.3,33.3,100,50,0,33.3,33.3,33.3,100,50,90
7,Male,50,50,50,100,50,50,50,50,50,0,50,100,50,50,50,100,50,0,50,50,50,100,50,95
8,Female,50,80,0,100,80,10,50,50,50,0,50,100,50,50,50,100,50,0,48,46,48,95,40,74
9,Female,50,50,50,75,50,10,56,44,46,12,44,93,90,50,50,95,80,80,75,50,25,90,50,50
10,Male,33,33,33,100,50,75,66,66,66,0,66,100,60,80,10,100,80,0,33,33,33,100,33,66.7
11,Female,50,30,50,100,30,50,50,20,30,50,20,90,30,50,10,100,40,50,50,30,50,100,20,80
12,Female,60,60,20,100,60,20,60,20,60,0,40,90,20,50,50,100,0,0,50,20,50,100,20,100
13,Male,25,75,60,100,50,50,10,80,35,0,50,100,5,60,80,100,50,0,40,80,35,100,50,100
14,Male,33,66,33,100,33,50,75,50,33,0,50,100,50,33,60,100,60,33,33,60,33,100,60,100
15,Female,50,50,50,100,50,50,50,50,50,50,50,100,50,50,50,100,50,50,33,33,33,100,50,66
16,Male,80,50,20,80,50,50,80,50,60,60,50,100,60,70,50,85,50,20,80,50,50,100,50,90
17,Female,40,80,20,100,60,20,60,60,40,0,60,100,60,60,40,100,60,0,70,70,40,100,60,90
18,Male,55,40,40,100,40,50,60,40,55,0,30,100,40,40,70,100,40,0,65,40,40,100,40,99
19,Male,48,51,43,95,42,42,33,33,33,0,0,100,33.33,33.33,33.33,100,0,0,20,70,10,100,0,0
20,Female,50,75,50,100,0,0,70,30,50,0,50,100,20,50,75,100,0,0,50,30,75,100,0,90
21,Female,60,30,20,100,30,0,100,50,30,10,50,100,20,70,30,100,70,0,80,50,10,100,50,50
22,Male,50,50,50,100,50,50,40,30,30,0,50,100,50,50,50,100,50,0,50,50,50,100,50,70
