ID,sex,condition,PRE_A_BB,PRE_B_BB,PRE_C_BB,MID_A_BB,MID_B_BB,MID_C_BB,POST_A_BB,POST_B_BB,POST_C_BB,PRE_A_IS,PRE_B_IS,PRE_C_IS,MID_A_IS,MID_B_IS,MID_C_IS,POST_A_IS,POST_B_IS,POST_C_IS,PRE_A_1C,PRE_B_1C,PRE_C_1C,MID_A_1C,MID_B_1C,MID_C_1C,POST_A_1C,POST_B_1C,POST_C_1C,PRE_A_2C,PRE_B_2C,PRE_C_2C,MID_A_2C,MID_B_2C,MID_C_2C,POST_A_2C,POST_B_2C,POST_C_2C
1,1,1,1,50,100,1,0,100,1,10,100,35,100,75,35,100,85,35,100,0,25,50,100,100,50,25,100,0,100,1,100,100,100,35,100,1,100,100
2,2,1,50,50,50,70,70,50,100,70,50,50,70,100,70,100,100,0,100,100,50,50,50,100,0,50,100,0,50,50,50,50,100,50,50,100,80,50
3,1,1,50,20,70,50,40,70,50,40,100,40,50,50,40,60,70,40,90,10,50,40,40,50,10,100,50,10,100,40,40,50,40,50,100,40,90,100
4,2,4,50,50,50,20,70,50,100,20,50,70,50,50,80,80,50,0,100,50,50,80,20,100,0,50,100,0,50,40,90,20,100,90,10,100,100,0
5,2,4,50,50,50,90,90,50,100,90,50,50,50,50,90,90,50,60,90,50,50,50,50,100,40,50,100,60,50,60,50,50,100,50,60,100,80,60
6,2,4,50,50,50,40,60,50,100,0,50,50,30,50,100,80,20,0,100,50,50,50,50,100,0,40,100,0,0,30,50,50,100,60,50,100,100,25
7,2,4,50,50,50,70,70,50,100,0,50,50,50,50,70,70,50,0,100,50,50,50,50,100,0,50,100,0,50,50,50,50,100,60,30,100,100,40
8,2,4,50,50,50,80,80,50,100,60,50,50,50,50,80,80,50,0,100,50,50,50,50,100,0,50,100,0,50,50,50,50,100,50,0,100,100,0
9,2,4,50,50,50,50,50,50,100,50,50,70,50,50,70,70,50,0,100,50,60,40,80,100,0,80,100,0,80,30,60,70,80,60,70,100,80,70
10,2,2,50,50,50,75,75,50,100,75,50,50,50,50,75,75,50,0,100,50,50,50,50,100,0,50,100,0,50,50,50,50,100,50,50,100,75,50
11,2,2,50,50,60,65,65,50,100,65,50,50,50,50,65,65,50,0,100,50,60,50,60,100,0,50,100,50,50,50,50,50,100,50,50,100,80,50
12,1,2,50,50,50,75,75,50,100,50,50,50,50,50,75,75,50,50,100,50,50,50,50,100,0,50,100,0,50,50,50,50,100,50,50,100,100,50
13,1,2,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,0,100,50,50,50,50,100,0,50,100,0,50,50,50,50,100,50,50,100,100,50
