ID,sex,condition,PRE_A_BB,PRE_B_BB,PRE_C_BB,PRE_D_BB,MID_A_BB,MID_B_BB,MID_C_BB,MID_D_BB,POST_A_BB,POST_B_BB,POST_C_BB,POST_D_BB,PRE_A_IS,PRE_B_IS,PRE_C_IS,PRE_D_IS,MID_A_IS,MID_B_IS,MID_C_IS,MID_D_IS,POST_A_IS,POST_B_IS,POST_C_IS,POST_D_IS,PRE_A_1C,PRE_B_1C,PRE_C_1C,PRE_D_1C,MID_A_1C,MID_B_1C,MID_C_1C,MID_D_1C,POST_A_1C,POST_B_1C,POST_C_1C,POST_D_1C,PRE_A_2C,PRE_B_2C,PRE_C_2C,PRE_D_2C,MID_A_2C,MID_B_2C,MID_C_2C,MID_D_2C,POST_A_2C,POST_B_2C,POST_C_2C,POST_D_2C
1,1,1,50,50,50,50,75,75,50,50,100,50,50,50,50,50,50,50,75,75,50,50,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,50,50,100,100,50,50
2,2,1,30,60,40,10,70,80,50,60,100,80,60,10,50,50,50,50,70,80,50,50,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,50,50,100,100,50,50
3,1,1,20,28,80,80,80,80,20,20,100,50,20,20,20,80,20,80,80,80,20,20,20,100,50,50,20,80,20,20,100,0,50,50,100,0,50,50,20,80,20,80,100,50,50,50,100,100,20,20
4,2,1,60,50,40,80,80,60,40,70,95,80,40,70,50,50,30,80,70,70,30,50,0,100,50,50,80,80,40,40,100,0,60,40,100,0,60,40,50,90,40,40,100,30,40,40,100,100,30,30
5,2,1,50,50,50,50,75,75,50,50,100,50,50,50,50,50,50,50,75,75,50,50,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,50,50,100,66,50,50
6,1,1,50,50,50,50,66,66,50,50,100,50,50,50,50,50,50,50,66,66,50,50,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,50,50,100,100,50,50
7,2,2,50,50,50,50,75,75,50,50,100,50,50,50,50,50,50,50,75,75,50,50,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,50,50,100,100,50,50
8,2,2,50,50,50,50,50,50,50,50,100,0,50,50,50,0,0,50,100,0,0,100,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,0,50,100,100,0,0
9,1,2,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,80,80,50,50,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,50,50,100,100,50,50
10,1,2,50,50,50,50,75,75,50,50,100,50,50,50,50,50,50,50,75,75,50,50,0,100,50,50,50,50,50,50,100,0,50,50,100,0,50,50,50,50,50,50,100,50,50,50,100,100,50,50
