ID,Age,Major,College,Year,Type of High school,85-211,36-309,21-111,21-112,21-120,21-122,21-256,36-201,15-110,85-426,15-122,15-210,15-251,88-120,15-213,15-150,15-112,85-221,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-
1,1,Decision Science,MCS,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,50,50,50,50,100,0,100,0,100,0,100,0,50,50,50,50,50,50,50,50,100,50,0,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,100,33,66,0,100
2,0,Neuro,Dietrich,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,100,0,100,0,0,100,0,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100,0,0,100,100,100,100,0,100,100,0,0,100,100,0,100,0,100,0,100,0,0,100,50,50,0,100
3,3,ChemE,CIT,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,50,50,50,50,50,50,50,50,100,0,100,0,50,50,50,50,50,50,100,100,100,0,0,100,50,50,50,50,0,100,100,0,0,100,100,0,50,50,50,50,50,50,0,100,33,66,0,100
4,2,Physics,MCS,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,55,50,55,50,60,50,60,50,60,50,55,50,45,45,55,55,45,45,50,50,40,50,50,50,55,55,45,45,66,66,60,60,55,65,50,60,50,50,50,50,50,66,33,80,60,66,75,80
5,1,math,MCS,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,60,40,50,50,10,90,80,20,90,10,50,50,60,40,40,60,10,10,40,40,40,50,60,50,66,40,20,60,70,80,20,20,40,50,20,80,100,60,60,30,60,40,30,90,70,20,90,70
6,0,mechE,CIT,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,50,50,50,50,50,50,50,50,75,25,50,50,50,50,50,50,50,50,50,50,75,50,25,50,100,100,0,0,25,25,0,0,25,25,75,75,0,100,0,100,0,100,0,100,0,100,0,100
7,0,psych,dietrich,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,50,100,50,100,100,100,50,0,100,100,0,0,100,100,0,0,100,100,100,100,100,0,0,100,100,0,0,100,100,0,0,100,100,0,100,0,100,0,100,0,100,0,100
8,0,math,MCS,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,50,50,50,50,0,0,0,0,100,0,0,0,0,0,100,100,100,0,100,100,100,0,0,0,100,100,0,0,100,100,0,0,100,100,0,0,50,100,0,100,0,100,0,100,0,100,0,100
9,0,mechE,CIT,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,100,0,0,100,50,50,50,50,0,50,50,0,0,50,50,0,50,50,50,50,25,25,25,25,33,33,0,50
10,0,biology,MCS,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,50,50,50,50,0,100,0,50,100,0,100,100,50,50,50,50,0,0,25,25,25,50,38,0,50,50,50,50,50,50,50,50,50,100,50,0,50,75,50,75,0,0,0,100,33,67,0,100
