ID,BB_A_pre,BB_B_pre,BB_C_pre,BB_D_pre,BB_A_post,BB_B_post,BB_C_post,BB_D_post,IS_A_pre,IS_B_pre,IS_C_pre,IS_D_pre,IS_A_post,IS_B_post,IS_C_post,IS_D_post,OC_A_pre,OC_B_pre,OC_C_pre,OC_D_pre,OC_A_post,OC_B_post,OC_C_post,OC_D_post,TC_A_pre,TC_B_pre,TC_C_pre,TC_D_pre,TC_A_post,TC_B_post,TC_C_post,TC_D_post
1,50,50,50,50,70,50,50,50,50,50,50,50,10,80,50,50,50,50,50,50,75,50,50,50,50,50,50,50,80,70,50,50
2,49,60,20,70,99,80,15,60,55,80,90,90,1,99,99,99,35,60,35,70,99,2,95,50,40,53,55,48,99,99,50,45
3,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,80,25,50,50
4,50,90,20,90,100,50,50,50,50,50,50,50,50,100,50,50,80,50,80,50,100,0,100,50,20,40,80,80,100,100,50,50
5,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,100,50,50
6,25,25,25,25,80,0,20,20,30,20,15,70,5,70,10,20,30,40,60,90,100,0,50,50,20,50,0,50,40,60,15,30
7,50,50,50,50,100,66,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,50,50,50
8,25,25,25,25,100,50,50,50,0,0,0,0,50,50,0,0,25,25,25,25,100,0,50,50,0,0,0,0,100,66,0,0
9,50,50,50,50,100,50,50,50,50,50,50,50,30,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,66,50,50
10,30,60,60,70,40,60,60,70,80,60,100,40,65,65,40,40,70,55,30,50,100,20,60,50,100,0,100,0,100,40,70,70
11,40,50,60,30,100,40,40,30,80,40,50,50,30,80,50,50,50,60,40,70,100,20,40,70,70,20,50,50,100,70,50,50
12,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,90,60,50,0,100,0,10,10,50,50,50,50,100,100,50,50
13,50,50,50,50,100,50,50,50,50,50,50,50,20,80,50,50,50,50,50,50,100,0,50,50,50,50,50,50,99,67,50,50
14,50,50,50,50,90,50,50,50,50,50,50,50,0,99,50,50,50,50,50,50,100,0,50,50,50,50,50,50,90,75,50,50
15,70,30,40,60,100,100,30,20,80,30,40,20,0,100,20,60,80,90,20,30,100,0,20,30,70,30,20,40,80,60,20,30
16,50,50,50,50,100,50,50,50,50,50,50,50,0,70,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,20,50,50
17,50,50,50,50,60,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,100,50,100
18,25,25,25,25,100,50,0,0,25,25,25,25,0,100,25,25,25,25,25,25,100,0,0,0,25,25,25,25,100,100,0,0
19,30,80,40,80,90,50,40,70,60,20,50,40,60,90,0,40,30,80,60,80,90,0,20,30,30,40,50,70,90,70,60,30
20,50,50,50,50,100,50,50,50,50,50,50,50,0,100,50,50,50,50,50,50,100,0,50,50,50,50,50,50,100,0,50,50
21,50,60,60,60,100,50,50,50,60,50,50,40,0,100,30,50,60,50,50,50,100,0,50,50,50,50,50,50,100,66,50,50
22,50,0,100,100,100,50,100,100,100,100,100,50,0,100,50,50,75,100,100,50,100,70,100,50,100,50,0,50,100,100,50,50
23,60,90,50,30,100,90,50,30,50,50,50,50,0,50,50,50,60,80,70,30,100,0,70,30,100,100,100,100,100,100,100,100
24,90,60,50,30,90,70,50,30,90,40,70,50,0,100,40,40,50,60,40,80,100,0,50,30,30,30,50,50,100,50,50,50
